sensorid,time,pm1
CU-S0004,13-02-18,30.15679443
CU-S0004,14-02-18,40.52034843
CU-S0004,15-02-18,46.57780488
CU-S0004,16-02-18,29.21222997
CU-S0004,17-02-18,31.40333333
CU-S0004,18-02-18,46.89612403
CU-S0004,19-02-18,47.10626335
CU-S0004,20-02-18,48.88922807
CU-S0004,21-02-18,41.18605634
CU-S0004,22-02-18,21.96405594
CU-S0004,23-02-18,16.90014035
CU-S0004,24-02-18,20.92139373
CU-S0004,25-02-18,24.92125436
CU-S0004,26-02-18,20.30190972
CU-S0004,27-02-18,23.63240418
CU-S0004,28-02-18,33.20491228
CU-S0004,01-03-18,38.08415493
CU-S0004,02-03-18,34.37923345
CU-S0004,03-03-18,33.25839161
CU-S0004,04-03-18,53.31238596
CU-S0004,05-03-18,63.26007042
CU-S0004,06-03-18,59.49922807
CU-S0004,07-03-18,77.8758042
CU-S0004,08-03-18,58.12601399
CU-S0004,09-03-18,18.10412587
CU-S0004,10-03-18,25.79265734
CU-S0004,11-03-18,49.62881119
CU-S0004,12-03-18,49.53028369
CU-S0004,13-03-18,38.06650177
CU-S0004,14-03-18,51.38045455
CU-S0004,15-03-18,64.32620567
CU-S0004,16-03-18,61.5103169
CU-S0004,17-03-18,44.75143357
CU-S0004,18-03-18,48.65384615
CU-S0004,19-03-18,51.57307692
CU-S0004,20-03-18,69.21393728
CU-S0004,21-03-18,59.94912892
CU-S0004,22-03-18,61.22414634
CU-S0004,23-03-18,65.48937282
CU-S0004,24-03-18,67.57501742
CU-S0004,25-03-18,61.25763889
CU-S0004,26-03-18,59.45083916
CU-S0004,27-03-18,42.06811847
CU-S0004,28-03-18,44.23100694
CU-S0004,29-03-18,52.66573427
CU-S0004,30-03-18,55.91965035
CU-S0004,31-03-18,29
CU-S0004,01-04-18,30.82644599
CU-S0004,02-04-18,31.8237193
CU-S0004,03-04-18,27.55088339
CU-S0004,04-04-18,29.89119718
CU-S0004,05-04-18,21.03199301
CU-S0004,06-04-18,21.6156446
CU-S0004,07-04-18,10.05954545
CU-S0004,08-04-18,11.70034965
CU-S0004,09-04-18,16.12705263
CU-S0004,10-04-18,31.09830389
CU-S0004,11-04-18,53.29696864
CU-S0004,12-04-18,67.32465278
CU-S0004,13-04-18,66.01344948
CU-S0004,14-04-18,68.85381944
CU-S0004,15-04-18,52.54625874
CU-S0004,16-04-18,20.26987952
CU-S0004,17-04-18,12.55241803
CU-S0004,18-04-18,14.055
CU-S0004,19-04-18,22.9491958
CU-S0004,20-04-18,28.12020979
CU-S0004,21-04-18,40.47258741
CU-S0004,22-04-18,56.26428571
CU-S0004,23-04-18,62.35909091
CU-S0004,24-04-18,78.25211268
CU-S0004,25-04-18,39.43567944
CU-S0004,26-04-18,17.01777003
CU-S0004,27-04-18,14.20986063
CU-S0004,28-04-18,14.1263986
CU-S0004,29-04-18,9.396167247
CU-S0004,30-04-18,7.986219081
CU-S0004,01-05-18,8.218263889
CU-S0004,02-05-18,3.446842105
CU-S0004,03-05-18,5.862673611
